post_id,platform,post_type,post_time,caption,hashtags,likes,comments,shares,caption_length,num_hashtags,post_hour,post_day,sentiment_score
20,Facebook,image,2023-02-02 16:00,Best day ever! 🎉,"#Friends, #Events, #Family",455,86,79,16,3,16,Thursday,positive
21,Twitter,poll,2023-05-02 06:15,"New post, check it out!","#Memes, #News, #Sports",559,136,55,23,3,6,Tuesday,neutral
22,Twitter,carousel,2023-01-30 13:30,Best day ever! 🎉,"#Politics, #Entertainment, #Sports",1961,44,439,16,3,13,Monday,positive
23,Twitter,text,2023-10-02 12:15,Exciting news! 🚀,"#Tech, #Trending, #Politics",332,109,348,16,3,12,Monday,positive
24,Instagram,carousel,2023-01-01 20:00,Exciting news! 🚀,"#Foodie, #InstaDaily",5000,80,399,16,2,20,Sunday,positive
25,Twitter,poll,2023-05-17 00:15,Amazing experience! 🌟,"#Entertainment, #Tech",898,130,480,21,2,0,Wednesday,positive
26,Facebook,carousel,2023-10-05 06:30,Disappointed but moving on.,#Social,1992,70,515,27,1,6,Thursday,negative
27,Instagram,text,2023-10-06 10:00,Best day ever! 🎉,#Fashion,3161,162,137,16,1,10,Friday,positive
28,Facebook,poll,2023-03-01 08:00,Just another day.,"#Events, #Community, #Friends",2083,500,388,17,3,8,Wednesday,neutral
29,Facebook,image,2023-01-07 10:30,Could be better.,#Events,548,153,731,16,1,10,Saturday,negative
30,Facebook,carousel,2023-02-03 00:30,Amazing experience! 🌟,#Community,4594,216,739,21,1,0,Friday,positive
31,Facebook,poll,2023-09-10 13:45,Disappointed but moving on.,"#Events, #Marketing, #Family",4795,449,978,27,3,13,Sunday,negative
32,Instagram,image,2023-07-01 14:45,Exciting news! 🚀,"#Tech, #Photography, #InstaDaily",4665,202,183,16,3,14,Saturday,positive
33,Twitter,video,2023-09-27 19:00,Loving this new vibe! 😍,"#Sports, #Trending, #Entertainment",119,147,240,23,3,19,Wednesday,positive
34,Twitter,poll,2023-02-09 15:30,Exciting news! 🚀,#Memes,2253,162,28,16,1,15,Thursday,positive
35,Instagram,image,2023-06-06 19:30,Feeling down today.,"#Fitness, #Foodie, #Tech",1309,201,852,19,3,19,Tuesday,negative
36,Facebook,video,2023-04-08 19:15,Amazing experience! 🌟,"#Social, #Events, #Friends",5000,500,43,21,3,19,Saturday,positive
37,Facebook,video,2023-05-11 00:30,Just another day.,"#Family, #Marketing",4245,59,83,17,2,0,Thursday,neutral
38,Twitter,poll,2023-05-02 00:30,Best day ever! 🎉,#Entertainment,2463,187,445,16,1,0,Tuesday,positive
39,Facebook,video,2023-01-01 06:00,Here's a quick update.,#Social,5000,430,980,22,1,6,Sunday,neutral
40,Instagram,carousel,2023-08-04 12:45,Could be better.,#Foodie,447,333,845,16,1,12,Friday,negative
41,Twitter,carousel,2023-12-27 11:30,Amazing experience! 🌟,"#Entertainment, #Trending",667,176,461,21,2,11,Wednesday,positive
42,Instagram,video,2023-11-23 02:00,Not my best day. 😞,#Photography,4929,252,730,18,1,2,Thursday,negative
43,Twitter,carousel,2023-03-31 16:00,Best day ever! 🎉,"#News, #Tech, #Trending",2586,97,85,16,3,16,Friday,positive
44,Instagram,text,2023-07-06 08:00,Disappointed but moving on.,"#Fashion, #Travel, #Tech",3259,50,177,27,3,8,Thursday,negative
45,Twitter,video,2023-12-01 10:00,Best day ever! 🎉,"#Trending, #Sports, #News",2236,132,118,16,3,10,Friday,positive
46,Instagram,text,2023-05-16 22:15,Exciting news! 🚀,"#Fashion, #InstaDaily, #Photography",2251,380,427,16,3,22,Tuesday,positive
47,Facebook,poll,2023-08-08 17:45,Feeling down today.,"#Events, #Social, #Family",4726,44,993,19,3,17,Tuesday,negative
48,Facebook,video,2023-03-22 03:15,Feeling down today.,#Family,5000,232,16,19,1,3,Wednesday,negative
49,Twitter,image,2023-04-17 15:00,Just another day.,"#Trending, #Entertainment",725,169,298,17,2,15,Monday,neutral
50,Instagram,text,2023-07-12 00:00,Not my best day. 😞,"#Beauty, #Photography, #Fashion",1551,206,127,18,3,0,Wednesday,negative
51,Twitter,text,2023-02-14 18:00,Loving this new vibe! 😍,#Tech,1268,73,251,23,1,18,Tuesday,positive
52,Twitter,image,2023-07-14 15:00,Loving this new vibe! 😍,"#Politics, #Entertainment, #Memes",950,113,327,23,3,15,Friday,positive
53,Twitter,video,2023-11-12 17:30,Exciting news! 🚀,"#Trending, #Sports, #Politics",1498,46,96,16,3,17,Sunday,positive
54,Instagram,image,2023-01-21 01:00,Disappointed but moving on.,"#Foodie, #Fitness, #InstaDaily",4297,360,825,27,3,1,Saturday,negative
55,Twitter,carousel,2023-10-02 23:30,What do you think?,"#Tech, #Entertainment",592,34,496,18,2,23,Monday,neutral
56,Instagram,image,2023-03-13 23:15,Not my best day. 😞,#Beauty,3401,190,230,18,1,23,Monday,negative
57,Instagram,video,2023-07-13 09:15,Here's a quick update.,"#Fitness, #Foodie, #Travel",4846,134,498,22,3,9,Thursday,neutral
58,Facebook,video,2023-12-27 04:00,Here's a quick update.,"#Social, #Events, #Family",2204,116,728,22,3,4,Wednesday,neutral
59,Twitter,video,2023-12-24 07:45,Just another day.,#Trending,344,99,194,17,1,7,Sunday,neutral
60,Instagram,carousel,2023-05-19 04:30,Loving this new vibe! 😍,"#Foodie, #InstaDaily, #Tech",4763,332,956,23,3,4,Friday,positive
61,Instagram,video,2023-12-31 22:30,Feeling down today.,"#Photography, #InstaDaily",3544,167,761,19,2,22,Sunday,negative
62,Facebook,carousel,2023-01-27 15:45,Not my best day. 😞,"#Community, #Friends, #Marketing",3742,227,849,18,3,15,Friday,negative
63,Twitter,image,2023-05-15 06:30,What do you think?,"#News, #Sports, #Politics",227,163,127,18,3,6,Monday,neutral
64,Instagram,carousel,2023-04-19 19:45,"New post, check it out!",#Tech,130,452,724,23,1,19,Wednesday,neutral
65,Instagram,image,2023-09-20 06:00,Exciting news! 🚀,#Foodie,3982,314,326,16,1,6,Wednesday,positive
66,Facebook,text,2023-01-03 03:00,Loving this new vibe! 😍,"#Family, #Events, #Friends",2265,39,318,23,3,3,Tuesday,positive
67,Facebook,carousel,2023-04-23 08:15,Disappointed but moving on.,"#Marketing, #Family, #Community",2026,390,165,27,3,8,Sunday,negative
68,Instagram,video,2023-12-28 16:45,Feeling down today.,"#InstaDaily, #Fitness",560,486,677,19,2,16,Thursday,negative
69,Twitter,image,2023-10-14 18:45,What do you think?,#Politics,187,89,284,18,1,18,Saturday,neutral
70,Facebook,text,2023-06-12 09:30,Not my best day. 😞,"#Friends, #Family",3094,86,965,18,2,9,Monday,negative
71,Instagram,video,2023-04-10 00:00,Here's a quick update.,"#Fashion, #Foodie",3398,261,630,22,2,0,Monday,neutral
72,Facebook,carousel,2023-05-05 16:45,"New post, check it out!",#Family,1690,257,656,23,1,16,Friday,neutral
73,Facebook,text,2023-07-18 22:00,Loving this new vibe! 😍,#Events,3026,11,761,23,1,22,Tuesday,positive
74,Instagram,video,2023-04-14 10:30,Loving this new vibe! 😍,"#Tech, #Travel",5000,454,744,23,2,10,Friday,positive
75,Facebook,video,2023-07-26 20:15,Best day ever! 🎉,#Social,5000,500,404,16,1,20,Wednesday,positive
76,Instagram,text,2023-07-27 19:15,Just another day.,"#Tech, #Foodie, #Photography",2153,81,114,17,3,19,Thursday,neutral
77,Twitter,carousel,2023-07-05 18:15,Loving this new vibe! 😍,"#Tech, #Trending, #Politics",3571,102,96,23,3,18,Wednesday,positive
78,Instagram,poll,2023-01-19 07:15,Amazing experience! 🌟,#Tech,2990,30,365,21,1,7,Thursday,positive
79,Instagram,carousel,2023-12-13 04:45,Amazing experience! 🌟,"#Tech, #Photography",4678,189,785,21,2,4,Wednesday,positive
80,Facebook,text,2023-06-25 15:15,Best day ever! 🎉,#Community,553,320,312,16,1,15,Sunday,positive
81,Facebook,video,2023-01-04 18:30,Here's a quick update.,"#Family, #Community, #Social",2642,33,413,22,3,18,Wednesday,neutral
82,Instagram,carousel,2023-11-19 12:30,Disappointed but moving on.,#Foodie,4656,314,757,27,1,12,Sunday,negative
83,Instagram,video,2023-12-06 04:00,Feeling down today.,#Fashion,5000,173,792,19,1,4,Wednesday,negative
84,Facebook,carousel,2023-10-03 19:00,Feeling down today.,#Marketing,1203,263,417,19,1,19,Tuesday,negative
85,Facebook,text,2023-07-06 07:00,"New post, check it out!","#Community, #Family",2566,368,304,23,2,7,Thursday,neutral
86,Twitter,text,2023-11-25 07:30,Best day ever! 🎉,"#Politics, #Sports",2416,50,62,16,2,7,Saturday,positive
87,Instagram,text,2023-05-23 22:30,"New post, check it out!",#Beauty,15,70,454,23,1,22,Tuesday,neutral
88,Facebook,text,2023-05-03 12:30,Best day ever! 🎉,"#Social, #Family",3404,244,67,16,2,12,Wednesday,positive
89,Twitter,carousel,2023-05-03 08:00,Amazing experience! 🌟,"#Trending, #News, #Sports",2884,197,339,21,3,8,Wednesday,positive
90,Instagram,poll,2023-03-19 04:00,Disappointed but moving on.,"#Foodie, #Fashion",3195,109,243,27,2,4,Sunday,negative
91,Facebook,carousel,2023-09-15 00:45,Could be better.,"#Community, #Events",3956,402,462,16,2,0,Friday,negative
92,Facebook,video,2023-02-23 17:15,Loving this new vibe! 😍,#Marketing,1857,216,344,23,1,17,Thursday,positive
93,Instagram,carousel,2023-05-07 00:30,Not my best day. 😞,"#Tech, #Fashion, #InstaDaily",951,432,734,18,3,0,Sunday,negative
94,Facebook,image,2023-11-27 04:30,Best day ever! 🎉,"#Friends, #Family, #Social",1694,207,290,16,3,4,Monday,positive
95,Instagram,poll,2023-03-07 19:15,Amazing experience! 🌟,"#Beauty, #Fashion",3005,124,517,21,2,19,Tuesday,positive
96,Instagram,carousel,2023-07-12 17:45,Amazing experience! 🌟,"#Fitness, #Foodie",36,294,911,21,2,17,Wednesday,positive
97,Twitter,video,2023-10-27 23:45,Here's a quick update.,#Memes,314,108,458,22,1,23,Friday,neutral
98,Twitter,text,2023-08-05 08:45,Best day ever! 🎉,"#Politics, #Tech, #Memes",229,179,38,16,3,8,Saturday,positive
99,Instagram,poll,2023-12-29 12:15,Loving this new vibe! 😍,"#Travel, #InstaDaily, #Fitness",5000,500,204,23,3,12,Friday,positive
100,Instagram,image,2023-06-06 21:00,Here's a quick update.,"#InstaDaily, #Travel",4483,357,25,22,2,21,Tuesday,neutral
101,Facebook,image,2023-10-20 23:30,Just another day.,#Community,1203,424,534,17,1,23,Friday,neutral
102,Twitter,poll,2023-04-01 14:00,Amazing experience! 🌟,"#Memes, #Entertainment, #News",366,91,458,21,3,14,Saturday,positive
103,Facebook,poll,2023-07-04 19:30,Feeling down today.,#Social,1926,162,979,19,1,19,Tuesday,negative
104,Twitter,video,2023-09-17 00:15,Exciting news! 🚀,"#Entertainment, #Trending, #Tech",601,107,126,16,3,0,Sunday,positive
105,Twitter,image,2023-12-07 03:45,Exciting news! 🚀,"#Politics, #Tech",1178,135,356,16,2,3,Thursday,positive
106,Facebook,image,2023-07-14 17:30,Just another day.,"#Community, #Family, #Social",3834,257,230,17,3,17,Friday,neutral
107,Instagram,video,2023-10-02 15:45,Feeling down today.,#Beauty,5000,484,5,19,1,15,Monday,negative
108,Facebook,carousel,2023-11-01 03:00,Feeling down today.,"#Marketing, #Community",2595,348,838,19,2,3,Wednesday,negative
109,Instagram,text,2023-04-27 04:45,Not my best day. 😞,"#Photography, #InstaDaily, #Travel",1542,116,345,18,3,4,Thursday,negative
110,Twitter,carousel,2023-04-06 12:45,Not my best day. 😞,"#Politics, #Memes",3456,116,424,18,2,12,Thursday,negative
111,Facebook,text,2023-07-17 02:45,Not my best day. 😞,"#Social, #Friends",1311,362,26,18,2,2,Monday,negative
112,Instagram,poll,2023-06-22 01:15,What do you think?,"#Beauty, #Foodie",3775,69,70,18,2,1,Thursday,neutral
113,Facebook,text,2023-03-04 06:00,"New post, check it out!","#Friends, #Community, #Events",74,338,650,23,3,6,Saturday,neutral
114,Twitter,video,2023-04-03 17:30,Loving this new vibe! 😍,"#Memes, #Sports, #Tech",676,265,316,23,3,17,Monday,positive
115,Facebook,poll,2023-08-04 22:45,Here's a quick update.,#Social,2673,167,714,22,1,22,Friday,neutral
116,Instagram,video,2023-02-10 00:30,Disappointed but moving on.,"#Travel, #Fashion, #Foodie",5000,500,203,27,3,0,Friday,negative
117,Instagram,poll,2023-05-04 21:00,Could be better.,"#Photography, #InstaDaily",3618,54,13,16,2,21,Thursday,negative
118,Facebook,poll,2023-07-07 08:30,Could be better.,#Marketing,31,126,123,16,1,8,Friday,negative
119,Facebook,image,2023-11-12 08:30,Disappointed but moving on.,"#Marketing, #Community",234,403,461,27,2,8,Sunday,negative
120,Instagram,carousel,2023-03-20 10:30,Disappointed but moving on.,"#Foodie, #Fitness, #InstaDaily",908,378,571,27,3,10,Monday,negative
121,Instagram,image,2023-06-25 01:15,What do you think?,"#Beauty, #Tech",3676,139,892,18,2,1,Sunday,neutral
122,Twitter,poll,2023-02-05 18:45,Feeling down today.,#Politics,2434,68,170,19,1,18,Sunday,negative
123,Instagram,carousel,2023-03-07 08:00,Amazing experience! 🌟,"#Beauty, #Fashion, #Fitness",3469,339,338,21,3,8,Tuesday,positive
124,Facebook,image,2023-12-21 19:30,Feeling down today.,"#Events, #Friends, #Community",4925,254,139,19,3,19,Thursday,negative
125,Facebook,poll,2023-12-30 23:30,Amazing experience! 🌟,"#Community, #Marketing, #Friends",5000,354,483,21,3,23,Saturday,positive
126,Facebook,carousel,2023-04-13 14:15,Amazing experience! 🌟,"#Family, #Community, #Friends",3792,470,442,21,3,14,Thursday,positive
127,Instagram,poll,2023-03-04 09:00,"New post, check it out!","#InstaDaily, #Foodie",3577,255,427,23,2,9,Saturday,neutral
128,Facebook,carousel,2023-11-13 09:15,Not my best day. 😞,"#Community, #Family",3695,45,501,18,2,9,Monday,negative
129,Instagram,carousel,2023-08-30 05:45,Just another day.,"#Foodie, #Beauty, #InstaDaily",4841,77,23,17,3,5,Wednesday,neutral
130,Twitter,image,2023-12-22 00:45,Amazing experience! 🌟,#Trending,1459,135,62,21,1,0,Friday,positive
131,Facebook,video,2023-02-01 11:30,Not my best day. 😞,#Events,3939,457,420,18,1,11,Wednesday,negative
132,Twitter,carousel,2023-08-04 14:30,Feeling down today.,#Tech,1367,92,119,19,1,14,Friday,negative
133,Instagram,carousel,2023-08-24 06:15,Exciting news! 🚀,#Fitness,367,103,728,16,1,6,Thursday,positive
134,Facebook,video,2023-10-06 19:15,Disappointed but moving on.,"#Marketing, #Family",4838,315,570,27,2,19,Friday,negative
135,Facebook,image,2023-05-19 17:15,Just another day.,"#Friends, #Family",3457,243,2,17,2,17,Friday,neutral
136,Twitter,poll,2023-11-01 07:30,Disappointed but moving on.,"#Memes, #Trending, #News",684,220,423,27,3,7,Wednesday,negative
137,Instagram,carousel,2023-06-01 16:45,Best day ever! 🎉,#Fashion,3823,301,528,16,1,16,Thursday,positive
138,Twitter,video,2023-08-31 06:00,What do you think?,"#Tech, #Sports",1374,156,271,18,2,6,Thursday,neutral
139,Instagram,image,2023-01-03 03:30,What do you think?,#InstaDaily,1372,322,830,18,1,3,Tuesday,neutral
140,Instagram,carousel,2023-03-20 05:15,Just another day.,"#Foodie, #Travel, #InstaDaily",4004,414,695,17,3,5,Monday,neutral
141,Facebook,poll,2023-02-04 08:45,Not my best day. 😞,"#Marketing, #Family",620,302,917,18,2,8,Saturday,negative
142,Twitter,carousel,2023-10-26 21:30,Just another day.,"#Sports, #Entertainment",476,179,124,17,2,21,Thursday,neutral
143,Instagram,poll,2023-10-31 02:45,"New post, check it out!","#Fashion, #Tech, #Foodie",3175,218,270,23,3,2,Tuesday,neutral
144,Twitter,carousel,2023-09-15 04:15,Best day ever! 🎉,"#Politics, #News, #Trending",102,198,143,16,3,4,Friday,positive
145,Facebook,image,2023-01-17 17:15,Disappointed but moving on.,"#Family, #Events",1843,21,688,27,2,17,Tuesday,negative
146,Twitter,video,2023-05-01 01:00,Exciting news! 🚀,#Politics,1493,47,432,16,1,1,Monday,positive
147,Twitter,image,2023-02-20 20:00,Best day ever! 🎉,#Politics,1770,203,327,16,1,20,Monday,positive
148,Facebook,video,2023-06-26 23:30,Best day ever! 🎉,"#Family, #Friends",2766,500,844,16,2,23,Monday,positive
149,Instagram,video,2023-11-04 05:15,Not my best day. 😞,"#Tech, #InstaDaily, #Fashion",2499,500,789,18,3,5,Saturday,negative
150,Instagram,text,2023-02-24 09:45,Here's a quick update.,"#InstaDaily, #Photography",277,24,220,22,2,9,Friday,neutral
151,Instagram,video,2023-12-11 08:30,Best day ever! 🎉,"#Fashion, #Fitness",5000,300,618,16,2,8,Monday,positive
152,Facebook,video,2023-01-15 08:15,Could be better.,"#Marketing, #Community",1869,178,341,16,2,8,Sunday,negative
153,Facebook,text,2023-12-30 00:15,Not my best day. 😞,"#Events, #Marketing, #Family",2497,423,463,18,3,0,Saturday,negative
154,Twitter,poll,2023-12-08 23:15,"New post, check it out!","#News, #Tech, #Memes",1514,190,17,23,3,23,Friday,neutral
155,Facebook,video,2023-05-29 16:30,Exciting news! 🚀,#Friends,3472,226,2,16,1,16,Monday,positive
156,Facebook,image,2023-03-11 13:00,Disappointed but moving on.,"#Marketing, #Social",3579,346,878,27,2,13,Saturday,negative
157,Instagram,poll,2023-02-25 18:45,Not my best day. 😞,"#Fashion, #Foodie, #InstaDaily",5000,500,98,18,3,18,Saturday,negative
158,Instagram,image,2023-02-10 22:30,Amazing experience! 🌟,#Photography,583,248,517,21,1,22,Friday,positive
159,Twitter,text,2023-12-11 05:45,Feeling down today.,"#News, #Politics",352,144,168,19,2,5,Monday,negative
160,Facebook,video,2023-10-14 02:30,Feeling down today.,#Marketing,5000,500,923,19,1,2,Saturday,negative
161,Twitter,carousel,2023-04-09 10:30,Not my best day. 😞,"#Sports, #Trending, #News",2642,189,20,18,3,10,Sunday,negative
162,Instagram,poll,2023-11-19 20:00,What do you think?,"#Foodie, #InstaDaily, #Tech",4611,78,896,18,3,20,Sunday,neutral
163,Twitter,carousel,2023-02-12 08:45,Loving this new vibe! 😍,"#Entertainment, #Trending, #Sports",3110,42,278,23,3,8,Sunday,positive
164,Facebook,image,2023-08-22 00:15,Feeling down today.,"#Events, #Community",508,335,246,19,2,0,Tuesday,negative
165,Facebook,poll,2023-05-10 12:45,Best day ever! 🎉,#Events,1664,327,376,16,1,12,Wednesday,positive
166,Facebook,poll,2023-11-27 04:15,Loving this new vibe! 😍,"#Community, #Friends, #Social",1846,455,830,23,3,4,Monday,positive
167,Twitter,poll,2023-11-02 12:45,Could be better.,#Memes,886,157,181,16,1,12,Thursday,negative
168,Twitter,text,2023-09-22 10:30,"New post, check it out!","#News, #Sports",2098,42,43,23,2,10,Friday,neutral
169,Twitter,carousel,2023-11-12 18:45,"New post, check it out!","#News, #Tech",4123,211,243,23,2,18,Sunday,neutral
170,Facebook,video,2023-10-30 07:00,Loving this new vibe! 😍,#Events,5000,257,94,23,1,7,Monday,positive
171,Twitter,text,2023-04-10 21:30,Best day ever! 🎉,#Politics,891,45,167,16,1,21,Monday,positive
172,Instagram,carousel,2023-07-31 09:00,Disappointed but moving on.,"#Fashion, #Foodie, #Photography",1222,231,905,27,3,9,Monday,negative
173,Twitter,carousel,2023-04-04 01:30,Here's a quick update.,"#Sports, #Entertainment, #Tech",861,142,253,22,3,1,Tuesday,neutral
174,Twitter,carousel,2023-06-29 15:30,What do you think?,"#Trending, #Tech, #Memes",687,210,60,18,3,15,Thursday,neutral
175,Instagram,image,2023-11-08 01:00,"New post, check it out!","#Beauty, #InstaDaily",3845,147,98,23,2,1,Wednesday,neutral
176,Twitter,poll,2023-09-22 05:00,Disappointed but moving on.,#Entertainment,1126,149,31,27,1,5,Friday,negative
177,Instagram,video,2023-06-01 19:45,"New post, check it out!","#Travel, #Foodie",5000,90,676,23,2,19,Thursday,neutral
178,Facebook,poll,2023-11-06 12:15,Exciting news! 🚀,"#Community, #Social",3584,461,449,16,2,12,Monday,positive
179,Twitter,carousel,2023-01-07 06:15,Just another day.,"#Politics, #Trending",3339,95,87,17,2,6,Saturday,neutral
180,Instagram,video,2023-06-24 04:30,Amazing experience! 🌟,#Beauty,4718,29,693,21,1,4,Saturday,positive
181,Facebook,video,2023-01-10 10:45,Here's a quick update.,#Events,5000,222,334,22,1,10,Tuesday,neutral
182,Facebook,carousel,2023-01-28 08:15,Loving this new vibe! 😍,"#Friends, #Events, #Community",4860,320,32,23,3,8,Saturday,positive
183,Twitter,image,2023-11-26 22:30,Best day ever! 🎉,#Entertainment,1486,136,384,16,1,22,Sunday,positive
184,Twitter,image,2023-02-15 19:30,Amazing experience! 🌟,"#Memes, #Tech, #Politics",357,170,483,21,3,19,Wednesday,positive
185,Facebook,carousel,2023-11-11 00:30,Amazing experience! 🌟,"#Marketing, #Family, #Friends",2379,421,750,21,3,0,Saturday,positive
186,Instagram,image,2023-03-28 13:45,Could be better.,#Tech,4508,486,265,16,1,13,Tuesday,negative
187,Instagram,poll,2023-06-11 07:45,Best day ever! 🎉,"#Tech, #Beauty, #Fitness",2546,77,784,16,3,7,Sunday,positive
188,Instagram,text,2023-09-23 19:30,Just another day.,#Foodie,3890,94,226,17,1,19,Saturday,neutral
189,Twitter,carousel,2023-11-22 05:45,Feeling down today.,"#Memes, #Tech, #Entertainment",631,203,287,19,3,5,Wednesday,negative
190,Instagram,carousel,2023-09-13 11:45,Just another day.,#Photography,2260,99,961,17,1,11,Wednesday,neutral
191,Instagram,image,2023-06-04 15:15,Just another day.,"#Foodie, #Beauty",5000,271,601,17,2,15,Sunday,neutral
192,Facebook,carousel,2023-02-08 03:00,What do you think?,#Events,2112,402,610,18,1,3,Wednesday,neutral
193,Twitter,text,2023-11-01 00:00,Disappointed but moving on.,#Entertainment,361,87,86,27,1,0,Wednesday,negative
194,Twitter,carousel,2023-03-03 03:00,What do you think?,"#Entertainment, #Sports, #Politics",55,112,366,18,3,3,Friday,neutral
195,Twitter,image,2023-10-14 01:45,Could be better.,"#Memes, #Sports",2210,104,291,16,2,1,Saturday,negative
196,Instagram,carousel,2023-01-31 06:45,Could be better.,"#Beauty, #InstaDaily",4548,181,200,16,2,6,Tuesday,negative
197,Instagram,image,2023-12-26 23:30,Here's a quick update.,#Foodie,540,348,660,22,1,23,Tuesday,neutral
198,Instagram,poll,2023-10-05 01:15,Could be better.,#Photography,3794,183,746,16,1,1,Thursday,negative
199,Facebook,text,2023-09-01 02:30,Just another day.,"#Social, #Friends, #Family",1329,34,887,17,3,2,Friday,neutral
200,Instagram,image,2023-12-03 04:15,Loving this new vibe! 😍,"#Tech, #Beauty, #Travel",1052,335,360,23,3,4,Sunday,positive
201,Twitter,poll,2023-04-03 19:30,Could be better.,"#Trending, #Memes, #Sports",22,43,200,16,3,19,Monday,negative
202,Instagram,image,2023-05-19 15:15,Just another day.,#Tech,521,87,890,17,1,15,Friday,neutral
203,Twitter,poll,2023-04-08 12:00,Disappointed but moving on.,"#Tech, #Trending",3496,126,200,27,2,12,Saturday,negative
204,Twitter,video,2023-12-12 12:45,Disappointed but moving on.,"#Trending, #Politics",1765,43,33,27,2,12,Tuesday,negative
205,Twitter,image,2023-12-30 08:00,Could be better.,"#Memes, #Entertainment",1500,180,36,16,2,8,Saturday,negative
206,Twitter,carousel,2023-11-24 15:15,Best day ever! 🎉,"#Memes, #Tech",930,46,17,16,2,15,Friday,positive
207,Instagram,video,2023-09-16 16:30,Exciting news! 🚀,"#Beauty, #InstaDaily",1370,331,169,16,2,16,Saturday,positive
208,Instagram,text,2023-11-05 11:30,Could be better.,"#Travel, #Beauty, #Foodie",703,433,207,16,3,11,Sunday,negative
209,Facebook,text,2023-01-03 20:30,Disappointed but moving on.,"#Marketing, #Community, #Social",2983,103,93,27,3,20,Tuesday,negative
210,Twitter,carousel,2023-06-02 19:15,Exciting news! 🚀,#News,1170,11,378,16,1,19,Friday,positive
211,Twitter,poll,2023-03-05 22:15,Loving this new vibe! 😍,"#Politics, #Entertainment, #Trending",2379,219,7,23,3,22,Sunday,positive
212,Twitter,carousel,2023-05-23 17:15,Just another day.,"#News, #Entertainment",1784,37,357,17,2,17,Tuesday,neutral
213,Instagram,text,2023-07-22 19:00,Amazing experience! 🌟,#Fitness,2367,278,612,21,1,19,Saturday,positive
214,Instagram,carousel,2023-03-24 09:15,Just another day.,#Fashion,424,191,583,17,1,9,Friday,neutral
215,Facebook,poll,2023-12-06 18:15,Amazing experience! 🌟,"#Family, #Social",2268,144,825,21,2,18,Wednesday,positive
216,Instagram,poll,2023-06-27 21:30,What do you think?,"#InstaDaily, #Tech",2879,276,301,18,2,21,Tuesday,neutral
217,Facebook,poll,2023-04-21 21:45,Disappointed but moving on.,"#Social, #Events",3940,117,786,27,2,21,Friday,negative
218,Instagram,poll,2023-05-31 19:45,Best day ever! 🎉,#Foodie,4210,198,729,16,1,19,Wednesday,positive
219,Twitter,poll,2023-11-21 12:00,Exciting news! 🚀,#Memes,1377,192,65,16,1,12,Tuesday,positive
220,Twitter,image,2023-07-27 13:30,Not my best day. 😞,#Trending,180,50,283,18,1,13,Thursday,negative
221,Facebook,image,2023-06-05 04:15,Loving this new vibe! 😍,#Friends,4871,388,40,23,1,4,Monday,positive
222,Facebook,text,2023-10-05 22:30,Could be better.,"#Community, #Family, #Marketing",1635,372,940,16,3,22,Thursday,negative
